fecha,factor_temperatura,factor_humedad,factor_precipitaciones,factor_viento,indice_incendio
12-2020,0.74,0.68,0.84,0.13,0.7020
1-2021,0.48,0.1,0.65,0.03,0.4185
8-2021,0.13,0.42,1.0,0.06,0.4855
9-2021,0.07,0.43,0.9,0.1,0.4355
10-2021,0.29,0.74,0.9,0.19,0.5835
11-2021,0.43,0.3,0.7,0.13,0.4685
12-2021,0.71,0.39,0.81,0.06,0.6160
1-2022,0.68,0.42,0.77,0.06,0.5975
8-2022,0.03,0.52,0.94,0.13,0.4565
9-2022,0.03,0.67,0.87,0.1,0.4590
10-2022,0.26,0.65,0.9,0.19,0.5550
11-2022,0.53,0.73,0.83,0.1,0.6320
12-2022,0.84,0.68,0.81,0.06,0.7195
2-2023,0.71,0.32,0.89,0.04,0.6280
3-2023,0.58,0.13,0.81,0.03,0.5155
4-2023,0.2,0.03,0.93,0.03,0.4045
5-2023,0.03,0.06,0.94,0.06,0.3575
8-2023,0.13,0.65,1.0,0.06,0.5315
9-2023,0.17,0.53,0.97,0.13,0.5180
10-2023,0.29,0.61,0.94,0.29,0.5815
