anio_mes,hectareas_bosques_nativos,avg_temp,avg_humidity,avg_rain,avg_wind_speed,riesgo_incendio,riesgo_incendio_num
1993-1,19043.870497351785,24.564516129032253,69.88387096774194,9.426387096774194,31.93870967741935,alto,3
1993-2,7100.617125004372,22.68214285714286,62.73214285714287,3.3234285714285714,27.039285714285715,alto,3
1993-3,2428.018349828828,22.748387096774195,73.61290322580645,3.9316451612903225,29.43870967741935,alto,3
1993-4,213.7264903261406,17.753333333333334,74.36,4.4290666666666665,29.683333333333334,medio,2
1993-5,253.1351969938953,13.454838709677414,72.50967741935483,1.4973548387096773,29.719354838709677,medio,2
1993-6,381.3114092864388,11.096666666666668,66.26333333333334,0.01,24.219999999999995,medio,2
1993-7,1157.9408245027066,8.941935483870969,57.66774193548388,0.09425806451612902,24.980645161290322,medio,2
1993-8,4017.6085387984135,13.261290322580644,45.670967741935485,0.09725806451612902,29.164516129032258,alto,3
1993-9,6380.023421659032,14.253333333333336,54.626666666666665,0.9553999999999999,29.286666666666672,alto,3
1993-10,4129.017866427297,18.60322580645161,66.64838709677419,0.9890000000000001,30.625806451612906,alto,3
1993-11,3624.3793994785165,20.84333333333333,64.14333333333333,6.206266666666667,34.846666666666664,alto,3
1993-12,11265.350880342578,23.170967741935478,65.01935483870967,5.5524516129032255,30.703225806451616,alto,3
1994-1,59616.09143843042,23.487096774193553,66.49677419354839,5.361870967741935,26.848387096774193,alto,3
1994-2,22228.20407502827,21.789285714285715,70.75357142857142,3.1286428571428573,23.935714285714287,alto,3
1994-3,7600.816440004197,20.80322580645161,64.5516129032258,1.833,28.996774193548383,alto,3
1994-4,669.0624152201536,17.603333333333335,68.64666666666668,3.809766666666667,28.203333333333333,medio,2
1994-5,792.4298294494118,16.003225806451614,80.9032258064516,0.6135806451612903,24.161290322580644,medio,2
1994-6,1193.6804467189706,13.493333333333334,67.74999999999999,0.06526666666666665,27.833333333333332,medio,2
1994-7,3624.88844289528,10.800000000000002,64.61290322580645,0.35677419354838713,28.39354838709677,alto,3
1994-8,12576.966328674183,13.16451612903226,58.990322580645156,1.6843548387096776,29.412903225806442,alto,3
1994-9,19972.413682283957,17.24666666666667,52.63999999999999,0.19476666666666667,33.25333333333333,alto,3
1994-10,12925.72886956319,18.016129032258064,74.38387096774194,2.507387096774194,28.745161290322578,alto,3
1994-11,11345.97789440552,21.463333333333335,63.98333333333334,2.7295999999999996,31.49,alto,3
1994-12,35265.740137326444,26.280645161290327,62.30967741935482,1.9673870967741938,31.012903225806458,alto,3
1995-1,38808.294141282255,23.206451612903226,69.61935483870968,3.2701935483870965,28.50645161290322,alto,3
1995-2,14469.896653105001,21.764285714285712,70.38928571428572,5.140035714285714,26.432142857142857,alto,3
1995-3,4947.904382866447,21.48387096774193,68.55806451612902,0.9643870967741937,26.6258064516129,alto,3
1995-4,435.5396400912401,18.56,61.04,0.36666666666666664,30.35666666666667,medio,2
1995-5,515.8481404195957,15.096774193548388,69.73225806451613,0.8978387096774193,24.874193548387098,medio,2
1995-6,777.050302514543,11.849999999999998,66.16000000000001,0.015233333333333333,30.816666666666666,medio,2
1995-7,2359.694061233451,10.980645161290322,55.86129032258064,0.01,28.83225806451613,alto,3
1995-8,8187.229268330594,12.88064516129032,50.72580645161289,0.0,28.299999999999997,alto,3
1995-9,13001.444512576601,17.176666666666666,40.39,0.32866666666666666,32.89333333333333,alto,3
1995-10,8414.263261095115,18.474193548387095,49.81290322580646,2.3849354838709673,34.02580645161291,alto,3
1995-11,7385.892580719117,22.226666666666667,63.193333333333335,6.4481666666666655,32.803333333333335,alto,3
1995-12,22956.943055766038,25.906451612903226,53.34838709677419,1.554935483870968,27.13225806451613,alto,3
1996-1,13752.407522256288,23.33870967741936,66.11290322580645,4.953451612903226,24.8258064516129,alto,3
1996-2,5127.664587729218,21.83103448275862,73.51724137931036,8.06658620689655,31.079310344827594,alto,3
1996-3,1753.3776982470865,21.777419354838713,71.26451612903227,7.5925161290322585,27.77096774193548,alto,3
1996-4,154.34119832286092,17.33,81.86666666666666,5.628933333333333,26.769999999999996,bajo,1
1996-5,182.79994015768838,15.925806451612903,78.1516129032258,0.12751612903225806,26.329032258064515,medio,2
1996-6,275.36156025227035,10.446666666666667,71.27666666666666,0.25366666666666665,27.323333333333327,medio,2
1996-7,836.1994536474666,10.36774193548387,54.37096774193547,0.11764516129032257,26.487096774193546,medio,2
1996-8,2901.289939885678,15.893548387096772,49.66774193548388,0.00016129032258064516,31.338709677419356,alto,3
1996-9,4607.292520099634,15.106666666666664,52.626666666666665,8.504699999999998,29.213333333333328,alto,3
1996-10,2981.743463004628,19.654838709677417,63.08387096774193,1.765548387096774,29.558064516129033,alto,3
1996-11,2617.3220682124634,22.24666666666667,55.88666666666666,9.041733333333335,31.953333333333333,alto,3
1996-12,8135.200048184718,23.106451612903225,68.2741935483871,8.189774193548388,31.922580645161286,alto,3
1997-1,7050.945834780818,24.558064516129033,73.2741935483871,4.807451612903225,26.416129032258063,alto,3
1997-2,2628.9858854524896,21.889285714285716,70.92142857142856,3.3756785714285718,29.53928571428571,alto,3
1997-3,898.9677740603008,21.44516129032258,72.19354838709677,1.3658064516129034,23.109677419354842,medio,2
1997-4,79.13170313550397,19.936666666666664,56.93333333333333,0.37950000000000006,28.45666666666666,bajo,1
1997-5,93.7226790703458,16.625806451612902,59.487096774193546,0.06267741935483871,30.412903225806453,bajo,1
1997-6,141.179603874984,11.449999999999998,64.81,0.5035666666666667,24.039999999999996,bajo,1
